F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-27.54,-65.5,26.86,23.31,10.42,-193.38,-1527.6,29181.72,-1002.62,-5538.31,1177.71,9.18,366.45,-217.32,2976.81,-595.41,-115.08,0.58,8.19,360.82,-450.68,9.3,8,3698.66,7475.32,-85.26,16,-524.79,Very high,-19070.16,-83.46,Europe,-15234.19,55.44,-29.27,-180.96,1272.39
-43.64,64.08,23.02,0,11.28,-141.92,-2205.5,11932.11,-1597,-3373.85,197.97,12.44,114.66,-263.85,4283.82,-557.07,-31.79,17.53,7.56,9.68,-588.24,9.86,12,2377.6,13749.14,-113.79,16,705.63,Medium,-3632.97,-144.1,USA,-13149.33,59.85,-116.73,-242.23,224.48
-30.2,68.78,22.04,1.56,11.32,-66.44,-1959.96,24250.47,-1316.02,-1316.48,1570.77,9.85,448.86,-182.16,2132.37,-533.67,274.96,0.49,8.16,367.77,-502,-11.64,0,3681.3,20719.16,-196.52,12,619.17,Very high,-16085.76,128.9,Rest,-10159.74,56.64,-100.04,-199.55,2297.39
-26.46,106.96,28.34,12.33,13.2,-263.74,-2560.58,17835.39,-309.02,-2933.39,2132.61,10.66,403.5,-135.99,2985.42,-544.2,-121.86,0.07,18.75,-201.8,-387.22,13.18,8,3089.98,6753.98,-94.02,16,624.39,Very high,-41023.74,-224.72,Rest,-13012.5,67.26,-22.54,-157.86,-1030.26
-43.22,105.58,18.34,2.25,11.54,-228.02,-2173.06,20959.08,-320.8,779.2,1887.18,18.13,107.94,-222.12,4085.31,-664.68,144.39,4.73,4.14,-81,-340.16,13.78,8,2827.54,23737.62,-139.53,8,-211.59,Very low,-6730.77,69.34,Rest,-11053.66,57.78,-94.11,-162.06,2447.28
-26.96,70.7,15.82,16.5,24.39,-153.62,-3149.12,22824.39,-2179.4,-4676.99,897.15,13.38,390.06,-155.28,3510.54,-453.12,-247.08,0.03,5.07,-348.52,-569.9,8.88,8,2300.12,19339.48,-133.64,4,1366.68,Very low,-4413.42,-30.04,Rest,-13901.89,74.64,-82.67,-217.2,-1362.15
-36.8,145.14,24.8,16.41,6.15,-95.16,-2237.17,16925.91,-1453.54,-68.93,548.55,15.41,380.94,-210.21,3744.72,-641.07,-29.54,1.06,16.77,-283.46,-558.18,10.78,2,4227.62,16502.4,-109.16,4,80.76,Very high,-30160.23,-270.82,UK,-6510.97,56.61,-75.68,-121.51,1833.76
-23.62,97.54,26.64,14.76,13.96,-92.16,-2332.71,26300.01,-366.18,-774.38,1581.27,10.27,328.71,-236.91,3206.4,-676.08,-339.92,0.05,29.01,194.81,-564.36,-1.12,8,3890.78,23541.78,-118.37,10,910.74,Very low,-13792.92,-153.52,UK,-13047.48,59.13,-84.04,-194.16,376.76
-23.54,27.12,56.26,8.31,13.25,-123.96,-2565.94,35757.54,-431.42,-2283.38,1155.54,10.24,325.89,-147.84,3206.58,-543.24,-323.7,0.19,4.26,103.87,-590.54,9.62,8,3073.12,20888.04,-79.23,10,1177.5,Very low,-18971.34,-130.96,USA,-13965.78,57.36,-67.03,-198.3,310.64
-27.4,118.72,34.82,-0.96,5.54,-97.14,-2418.29,28693.95,-445.52,-2461.94,2691.45,6.88,341.1,-266.28,3174.18,-963.72,138.92,0.38,11.13,124.77,-537.5,18,8,2185.8,23738.12,-105.71,2,-319.14,Very high,-14614.35,-104.42,Rest,-11233.44,57,-97,-333.25,2944.64
-32.68,73.2,28.56,29.1,8.83,-248.92,-2237.12,27934.41,-70.82,-773.25,157.32,11.28,364.71,-330.81,1387.47,-588.57,148.43,0.01,20.28,-57.13,-668.7,8.8,4,3615.76,21412.32,-156.72,4,783.09,High,1187.19,39.4,UK,-11333.12,56.73,-109.33,-150.82,2558.07
-25.6,65.52,23.3,1.02,11.31,-195.88,-2296.01,19536.12,-1420.78,-2407.14,797.88,13.36,328.23,-407.64,2244.66,-481.95,-440.88,52.82,9.15,-194.64,-601.66,41,6,3156.78,21543,-112.19,12,-469.62,High,-17851.71,-157.08,Rest,-13557.9,52.68,-14.61,-98.21,2528.7
-30.94,133.88,20.32,20.79,7.79,-188.4,-2636.48,16144.26,-1260.26,-373.63,810.66,7.37,161.22,-246.42,2200.62,-566.7,-44.31,19.99,10.77,46.3,-561.02,22.74,12,3508.32,28446.1,-98.57,8,1138.74,High,-3617.13,-330.66,Rest,-8709.39,59.73,-1.62,-154.73,2611.54
-22.76,-45.46,39.76,16.2,16.37,-158,-3191.3,41573.43,-1266.46,-675.98,249.09,12.74,418.08,-146.13,3393.36,-738.27,107.59,0.07,23.52,-128.57,-543.16,8.72,0,3983.46,25011.04,-144.03,6,1595.4,High,-922.62,-66.7,Rest,-7397.32,62.61,-89.72,-163.11,2448.25
-42.22,51,19.18,20.76,8.77,-118.6,-1215.17,21225.51,-389.18,-5244.48,309.51,12.71,151.8,-484.17,2772.96,-574.08,-777.59,10.01,6.27,221.69,-506.64,-0.6,4,3990,16127.66,-90.8,10,969.24,Very high,-12036.96,-88.58,Europe,-9818.71,60.18,-107.73,-145.08,3794.19
-29.4,-27.34,27.86,8.79,11.2,-119.76,-1625.08,19341.78,-2092.54,-1749.41,1868.79,13.22,174.69,-363.36,1832.91,-460.08,-281.12,45.93,10.53,-70.16,-395.6,10.36,4,3329.12,13978.82,-107.63,8,1122.99,Very low,-20800.2,-141.02,Rest,-15458.45,60.39,-56.78,-137.84,428.41
-31.7,16.56,15.98,16.65,7.73,-60.48,-2747.68,20271.03,-1576.42,-1573.56,1022.7,11.31,305.04,-184.44,3663.18,-709.32,-281.47,2.36,17.49,476.53,-517.5,10.3,4,3254.32,28113.42,-88.55,6,-443.25,Very low,-12980.67,-61.68,Rest,-9699.7,60.54,-40.15,-182.17,773.19
-27.78,-128.72,19.2,10.95,12.37,-148.86,-2571.06,28425.36,-519.74,-5891,2354.22,18.56,359.79,-290.55,2767.41,-654.9,-426.92,1.08,3.84,-122.87,-526.82,3.82,10,4614.18,15739.72,-80.21,10,193.92,Very high,-23336.76,-119.42,USA,-11192.27,57.87,-92.34,-164.92,869.84
-8.76,-19.18,24.12,8.76,6.27,-206.24,-2467.94,24072.27,-698.2,-7511.38,16.11,10.77,413.07,-216.12,3513.45,-579.18,-497.16,0.17,10.89,72.27,-617.94,9.68,6,4049.2,12673.96,-100.36,10,2554.14,Very low,-20661.48,-93.7,USA,-17850.48,74.4,-94.61,-151.71,-94.19
-25.64,111.32,19.58,15.42,12.69,-147.26,-2466.87,29461.98,19.34,592.4,-426.33,12.72,329.1,-139.32,2469.57,-528.9,-255.8,0.02,18.39,-241.14,-513.18,4.9,14,3227.46,18189.72,-93.47,8,1808.7,Very high,-12496.47,-35.12,USA,-10016.64,79.05,-99.37,-241.56,154.64
-23.46,32.46,26.42,8.94,13.12,-241.6,-2501.25,26751.33,-960.78,-4074.17,1817.55,5.32,299.01,-114.39,2281.71,-719.16,118.73,0.44,8.46,294.89,-516.48,6.14,8,2718.02,22953.38,-196.81,8,211.26,High,-2486.91,-80.6,Rest,-15107.39,61.11,-37.63,-197.32,2320.01
-27,187.54,26.82,-7.86,12.6,-169.12,-2760.2,25866.18,-1785.28,-699.98,1138.77,14.55,439.59,-307.11,2992.8,-444.66,153.51,6.06,2.4,251.9,-506.48,-6.08,6,2695.58,29947.5,-129.34,12,601.02,Very high,-8692.98,-185.94,Europe,-10088.56,60.99,-81.83,-160.53,2446.21
-28.28,160.34,25.22,13.86,3.48,-194.76,-2086.21,35632.8,-723.68,-641.12,1209.66,11.27,81.93,-163.17,3137.85,-641.82,-272.82,33.34,3.72,77.15,-593.02,11.66,10,3936.46,17554.64,-88.55,10,313.65,Very low,-18110.43,12.7,USA,-10960.92,56.67,-74.77,-159.4,601.49
-30.42,82.76,26.66,5.01,21.59,-154.12,-2515.6,26237.34,-1943.78,-3711.25,1965.63,10.49,193.68,-279.06,2256.81,-606,-189.72,305.64,5.73,-84.34,-545.5,7.16,10,3804.1,7279.96,-91.15,14,923.46,Very low,-3175.32,-62.24,Europe,-12067.43,54.84,-34.62,-377.52,1274.15
-23.08,84.58,20.66,4.41,7.75,-184.5,-1065.15,26186.16,-1282.4,-2223.51,1550.64,11.82,217.68,-81.81,4371.12,-690.99,101.07,0,14.01,310.26,-240.14,-2.54,8,4528.72,25806.86,-88.81,6,282.72,Low,-29729.55,-159.54,USA,-8620.5,66.36,-63.11,-210.15,-239.21
-28.56,113.9,20.22,13.77,16.66,-181.52,-2477.4,34381.44,-1494.36,-3887.83,-176.73,10.68,269.43,-398.97,2999.58,-323.61,-68.76,14.26,6.69,329.88,-477.94,2.5,12,4126.86,20456.58,-73.01,2,1166.82,High,-8905.47,-21.82,USA,-10282.11,79.41,-33.11,-202.37,440.72
-24.74,164.92,27.08,9.27,-4.71,-149.24,-1519.99,24523.5,-960.22,-5009.25,137.82,20.43,316.98,-189.36,3304.56,-568.77,-172.32,0.02,10.41,-520.41,-487.74,8.38,4,3502.34,16499.84,-101.52,10,-218.46,Low,-38131.62,-55.9,Rest,-10025.79,61.5,-26.89,-156.81,-1136.93
-27.5,19.3,23.9,18.57,13.24,-170.16,-2310.85,30589.74,-1533.14,1028.3,240.75,6.26,499.89,-272.94,4413.45,-735.27,-303.66,1.56,12.6,-421.56,-564.68,2.98,6,4806.6,23915.12,-138.5,12,367.59,High,-23038.98,-74.3,Rest,-13200.51,76.98,-74.91,-198.55,-1184.4
-36.44,129.1,24.3,19.35,11.08,-63.18,-2762.92,26715.3,-797.74,-402.65,667.86,27.34,502.62,-200.73,3661.83,-635.67,-402.41,0.05,5.4,548.22,-628.28,11.44,6,3290.9,12133.44,-70.28,8,-155.91,Very high,-28946.43,-110.28,Rest,-16998.09,83.76,-72.79,-185.64,-1157.68
-33.38,21.1,24.58,16.17,13.43,-204.36,-2509.41,38436.51,-1144.14,-1936.03,765.3,7.98,368.04,-224.55,1616.04,-577.08,-178.26,0.07,15.57,-443.11,-420.82,12.68,10,2722.74,32611.2,-72.06,12,1245.72,Medium,-26336.73,-60.8,USA,-17600.96,64.32,-74.11,-240.8,-89.78
-33.38,163.46,13.1,14.49,3.74,-29.46,-1668.02,22338.84,646.96,-4375.25,1979.94,13.77,398.43,-294.81,1738.83,-664.38,-247.51,9.38,12.9,-57.35,-497.88,15.46,14,3082.08,20106.82,-150.24,12,-183.57,Very low,-1990.17,-17.76,USA,-12346.17,60.81,-54.02,-181.48,858.56
-30.36,88.64,38.08,12.66,16.03,-271.92,-2175.83,32465.94,-2062,1396.8,1470.69,12,402.21,-342.45,2876.16,-646.17,-194.56,0,13.17,-446.55,-459.22,17.76,12,2371.14,20958.38,-152.73,10,188.43,Very low,-7264.98,-5.1,UK,-11702.79,58.2,-75.76,-159,-1111.1
-33.4,112.52,-12.96,11.07,16.12,-122.12,-1949.37,37381.02,-755.94,-5137.18,1149.27,17.26,487.62,-206.46,3605.1,-124.86,-614.52,0.01,12.72,336.11,-586.12,6.78,4,4832.06,22755.38,-99.99,10,607.65,Medium,-26551.98,39.84,Rest,-7993,55.02,-17.09,-177.02,510.98
-23.72,139.7,31.66,-2.67,14.46,-138.52,-2436.74,33575.73,-1485.16,-1864.14,1111.68,6.71,465.3,-227.82,2683.41,-569.04,-576.98,0.07,6.15,-15.79,-552.28,8.72,10,2582.66,8460.62,-112.54,12,583.47,Low,-18210.15,-85,USA,-7198.36,56.91,-26.92,-183.1,-39.32
-17.22,102.64,19.4,18.63,8.93,-84.52,-1986.26,15406.92,-1402.08,12.83,1956.21,15.99,293.64,-303.66,2105.4,-583.89,-20.84,0.78,29.16,-125.09,-409.08,7.52,6,3257.78,21775.62,-153.93,12,2249.43,Low,-8947.68,-146.58,USA,-17411.07,86.82,-17.37,-211.24,-227.3
-32.92,96.22,24.18,4.92,14.08,-194.3,-1977.92,50088.57,-969.16,739.02,1334.82,15.32,327.54,-258.63,4611.66,-722.79,7.66,0.04,3.06,109.37,-451.34,-0.96,2,3537.46,19613.22,-142.82,8,823.11,High,-20519.67,-59.32,UK,-7066.7,59.43,17.34,-226.13,1174.69
-42.1,45.42,28.96,24.21,20.79,-167.66,-2513.44,43850.76,-1178.48,3122.43,1993.83,13.34,111.63,-317.43,3738.63,-567.15,-512.3,0.29,7.98,-22.73,-525.32,12.9,2,3280.94,25422.88,-96.98,10,-712.26,Medium,-27502.95,-82.7,UK,-5121.54,60,-27.06,-165.66,511.64
-36.74,93.34,31.76,19.98,5.63,-141.22,-2265.34,40076.7,24.52,1153.96,701.76,12.61,404.61,-189.24,3116.16,-648.33,-261.73,7.94,54.18,38.39,-548.34,7.56,6,3146.24,11812.5,-156.34,12,775.38,Medium,-12732.93,-55.54,Rest,-3721.49,58.38,-85.82,-187.4,2583.81
-16.36,-91.48,20.16,-6.42,2.79,-90.14,-2332.86,38470.92,-1896.5,523.81,1677.78,9.65,335.04,-185.13,3112.68,-920.28,-313.96,0.41,3.75,388.61,-697.18,9.1,10,2812.64,15193.76,-136.08,4,106.89,High,-9110.46,-62.44,Rest,-7834.74,59.43,-116.37,-130.08,1742.45
-27.2,131.22,37.64,22.08,10.96,-257.5,-1451.42,51258.9,-812.64,-1142.8,1184.34,9.07,316.8,-222.18,3080.97,-664.77,15.07,0.04,30.27,188.69,-428.98,-0.62,6,4429.62,5281.62,-87.03,2,1127.7,Very low,-20750.61,-96.5,UK,-12671.93,74.13,-27.85,-144.62,-141.66
-30.48,123.36,24.62,8.97,-2.81,-144.46,-2349.75,17667.87,-657.3,-2392.25,1451.1,10.56,266.43,-148.74,2792.07,-523.32,48.35,0.03,8.46,259.34,-571.4,19.9,8,3742.3,15247.62,-133.05,2,1325.64,Low,-3214.11,-163.24,Europe,-8848.86,54.12,-81.27,-223.22,3582.64
-25.38,67.38,34.26,20.22,13.27,-146.92,-2179.02,22874.94,-1742.56,1273.94,1497.18,13.89,-40.65,-407.97,3655.95,-507.15,-551.87,0,19.89,339.38,-577.8,12.84,12,3479.96,16925.74,-120.34,6,1733.43,Low,-14183.64,-59.82,UK,-16749.93,58.71,-112.45,-254.05,-426.96
-27.78,-5.5,16.22,3.21,7.3,-156.9,-2334.8,14151.72,-763.14,-2438.43,832.47,9.18,215.49,-291.09,1747.11,-535.89,-370.09,2.14,4.68,350.34,-694.42,3.44,10,3434.9,6369.06,-113.91,6,1430.04,Very high,-12397.5,-50.56,USA,-13096.12,75.57,-70.68,-154.17,621.21
-25.86,210.06,30.98,12.81,15.73,-185.82,-1759.99,30658.05,-1483.36,-1873.59,774.45,8.31,296.16,-231.69,2924.28,-459.27,1.32,0.14,42.09,-334.25,-536.2,10.08,8,3903.26,11852.5,-106.31,12,1222.83,Very low,-22811.1,-83.88,UK,-9800.26,58.77,-54.63,-189.08,-667.82
-28,330.16,22.3,9,20.91,-166.7,-2336.74,18388.53,-1643,-3431.69,1012.65,12.57,486.03,-367.5,2860.26,-586.89,-350.31,21.22,6.51,344.52,-777.48,4.88,8,3398.52,20034.42,-125.47,10,891.3,Medium,-14212.74,-276.38,Rest,-12191.24,87.66,-56.73,-95.34,-1295.47
-30.06,112.78,24.94,14.13,9.2,-145.28,-2222.66,7194.93,-958.36,-4823.3,2209.98,16.35,319.11,-154.02,1931.73,-647.79,144.24,1637.56,2.16,228.44,-540.7,11.34,8,4520.02,12851.84,-180.3,0,1045.92,Medium,-13928.58,-101.48,USA,-11121.71,60.87,-80.7,-197.71,2230.04
-10.08,229.84,19.76,19.35,12.92,-226.32,-2202.37,19433.79,-1317.18,-2587.35,687.12,16.52,397.86,-147.84,4211.61,-382.29,270.59,1.32,13.59,299.62,-738.58,17.88,10,5054.88,22235.78,-101.04,10,342.75,Medium,-22092.57,-107.34,UK,-16794.43,56.07,-64.26,-280.05,672.08
-54.88,77.18,24.46,16.77,11.48,-102.1,-2320.95,19334.76,-1289.6,-2620.32,1269.42,6.6,582.12,-180.93,2785.68,-655.53,-211.6,0.03,4.08,330.47,-380.3,-17.64,8,2929,13467.98,-121.3,8,-444.84,Very low,-22716.06,-152.96,USA,-8067.7,60.63,-63.83,-184.43,-69.96
-29.92,68.42,14.94,24.27,8.82,-179.3,-2505.46,22254.63,-837.96,-439.34,1593.66,11.53,150.6,-318.39,4750.92,-572.4,-186.33,1.09,6.9,468.51,-489.64,12.26,10,3826.42,19281.74,-95.58,8,446.67,Very high,-22389.15,-101.28,USA,-13061.49,60.87,-144.76,-168.25,759.11
-30.24,53.32,9.72,15.6,13.64,-212.94,-2342.55,16121.28,-390.86,-2405.46,466.71,14.53,315.27,-219.12,2057.34,-637.29,-113.64,57.95,18.48,-798,-529.7,1.18,6,3144.82,23270.62,-133.34,14,347.58,Very high,-25253.64,-49.16,USA,-12614.22,65.46,-77.11,-143.98,811.21
-28.24,0.88,6.76,10.62,13.35,-133.46,-2614.39,32134.38,-563.96,-8224.17,2062.68,13.59,97.11,-296.43,3042,-497.16,-197.62,378.66,4.32,693.33,-535.36,3.24,4,3974.32,18486.5,-184.22,10,571.5,Low,-28357.62,-70.18,UK,-11789.32,74.58,-74.58,-191.72,849.12
-25.86,73.84,13.58,12,9.41,-130.36,-2036,37240.56,-1640.26,-6411.76,1707.06,11.11,320.37,-333.42,4912.08,-528.99,29.29,23.69,26.43,75.03,-560.12,12.28,4,3631.88,13587.14,-107.42,4,1458,Very low,-18712.47,-69.8,Rest,-9726.41,77.91,-27.12,-66.01,-514.7
-21.76,95.14,26.42,27.18,10.82,-154.42,-1700,23592.9,-1817.92,-1124.44,1900.02,11.52,192.72,-230.97,2737.29,-681.03,593.53,1.67,11.7,91.42,-531.76,4.9,0,3776.8,15212.28,-107.63,8,-198.15,High,-20671.38,-63.84,Europe,-8363.31,70.86,-54.18,-228.67,450.78
-44.74,17.16,19.76,4.98,12.58,-250.82,-3077.94,36725.13,-2147.86,-698.44,547.59,12.77,292.77,-290.64,3515.97,-666.18,-13.47,380.78,12.39,-50.79,-620.76,7.66,10,2897.08,8183.88,-131.31,6,122.64,Very high,-14129.13,-64.04,Europe,-7501.77,55.05,1.05,-184.85,3727.88
-38.42,91.44,21.88,2.58,14.09,-133.68,-2170.84,36037.65,-414.92,-439.7,-585.15,15.02,372.03,-287.64,3204.87,-496.29,-433.81,7.12,14.07,436.58,-513.34,1.02,8,2658.12,22425.02,-116.07,14,-1128.3,Medium,-30246.51,-171.16,UK,-5937.79,61.08,-68.02,-185.07,588.17
-23.7,49.84,27.82,12.54,12.44,-70.78,-2202.71,15643.65,-759.7,-5017.65,442.11,15.19,245.55,-329.4,2711.04,-559.17,213.68,0.03,25.23,-1.16,-552.94,15.72,2,1625.68,19474.5,-103.56,8,345.45,Medium,-14577.42,-244.36,Europe,-11784.48,57.6,-64,-150.7,2179.99
-24.96,110.24,24.3,11.04,17.93,-217.5,-2491.85,22550.73,-834.62,-1029.07,2744.79,13.35,185.55,-176.01,3321.24,-580.95,-73.93,127.16,7.89,-160.1,-542.92,25.84,2,5615.2,18401.34,-129.25,8,2027.64,High,-15685.95,-466.88,USA,-11206.08,63.66,-102.42,-174.14,1544.7
-35.36,126.12,33.14,17.58,10.73,-191.28,-2982.81,27020.34,-2199.16,1353.25,2451.24,12.42,258.18,-284.16,424.35,-359.97,-70.23,12.4,3.09,-533.47,-544.14,1.5,2,2907.44,11971.12,-139,6,688.92,Low,-19539.72,-54.02,Europe,-9779.74,69.99,-18.28,-165.6,234.74
-36.04,59.06,33.82,12.51,11.7,-199.28,-1959.49,31691.67,-969.92,-4608.44,1101.84,3.49,388.8,-161.25,2671.95,-606.15,-419.22,0.1,0.84,419.66,-603.1,11.32,16,3330.82,22744.4,-128.65,8,55.26,Very high,-6389.13,-86.64,Rest,-11859.63,66.12,-19.69,-166.92,842.83
-33.68,131.82,28.16,5.61,11.84,-179.2,-2641.67,14579.79,-1519.64,-5997.66,1387.26,13.43,190.83,-297.6,3376.71,-489.36,-97.55,0.49,8.94,251.12,-594.94,7.26,10,3637.2,17965.22,-164.07,6,1899.66,Very low,-10729.83,-215.54,Europe,-15944.35,60.9,-41.8,-219.55,394.03
-24.78,123.56,25.56,10.89,13.47,-195.78,-2125.73,28297.77,-879.92,2638.27,674.55,7.6,329.82,-374.34,3954.87,-644.07,-15.64,180.62,6.6,-174.76,-538.84,7.6,12,3333.26,16294.12,-122.6,8,56.58,Very low,-15697.8,-79.16,USA,-14738.58,62.97,-48.03,-154.64,543.04
-21.16,112.42,24.06,11.07,9.48,-116.84,-2111.63,37623.93,-1959.84,423.92,-116.85,5.58,644.64,-76.29,3658.47,-641.85,-223.84,0.03,20.64,499.29,-583.32,10.02,10,3420.82,16438.54,-123.82,10,1167.93,Medium,-15813.51,-50.7,UK,-10832.94,58.05,-99.19,-202.57,-275.5
-28.58,136.36,22.66,4.05,13.24,-218.44,-1774.62,30677.82,-1970.8,1093.17,1578.72,-0.55,320.25,-296.13,2833.56,-381.72,537.24,0,2.37,83.52,-507.86,-14.46,8,3437.46,14644.92,-166.47,14,1594.98,Low,-15714.3,-146.92,USA,-10016.81,65.46,-47.02,-212.18,-287.19
-38.66,216.58,18.62,0.72,8.02,-174,-2284.73,22657.62,-707.68,-5678.38,1019.64,16.91,375.54,-243.24,3564.69,-728.34,-500.25,49.03,13.2,-9.22,-531.24,8.3,6,4831,19022.3,-84.96,10,-154.29,Very high,-24761.46,-106.18,UK,-14738.55,54.06,-70.17,-247.31,2394.13
-32.78,261.82,4.66,9.12,11.2,-144.9,-2248.44,26269.11,-1052.56,2547.67,935.61,14.88,351.12,-400.68,1971.63,-619.74,-462.24,0.73,3.48,163.26,-552.46,3.98,10,3133.1,12135.98,-126.06,2,417.06,High,-25257.72,-157.74,UK,-9413.9,63,-16.7,-153.26,1389.56
-10.32,-5.08,22.42,0.54,10.97,-98.16,-2332.78,24880.17,-1991.54,-2490.98,2864.37,13.17,323.79,-374.28,4207.11,-401.61,168.59,0,27.36,191.33,-321.7,-23.24,4,2813.18,25578.92,-108.5,4,184.14,Low,-9748.74,-82.76,Europe,-14190.03,60.66,-93.93,-180.06,-114.53
-36.42,83.42,22.26,2.64,5.21,-174.88,-1683.02,39458.61,-1224.74,-2416.19,473.28,10.69,203.55,-136.17,3059.67,-468.15,60.64,6.75,10.71,-266.29,-521.14,16.7,12,3338.22,19917.36,-179.32,8,-156.24,Very low,-42957.12,-98.56,USA,-8015.17,66.15,-134.77,-208.6,-124.81
-33.82,16.68,21.38,0.48,19.03,-153.84,-2054.22,38190.51,-1642.84,-341.28,1174.56,14.93,279.15,-386.01,3837.36,-614.13,-303.08,1.06,9.72,-139.13,-620.02,18.1,8,2838.54,17389.58,-160.7,8,397.05,Low,-18133.62,-86.24,UK,-5390.59,66.72,-58.93,-92.48,-62.49
-22,160.68,23.92,23.79,15.95,-170.66,-2202.91,27422.1,424.94,-3506.12,1296.93,8.26,345.84,-286.2,1989.66,-548.37,217.41,61.84,1.35,-274.72,-544.58,7.28,12,2910.18,19782.78,-170.18,8,1934.94,High,-16651.23,-92.62,Europe,-12383.27,83.49,-103.05,-161.17,2842.05
-19.92,65.78,22.78,5.73,10.19,-154.28,-2692.67,22091.91,-1001.42,691.95,1726.41,11.67,196.05,-260.16,2851.8,-624.36,161.92,0.03,1.47,403.98,-549.08,19.46,4,4448.94,26821.22,-103.56,12,-140.46,Low,-20951.85,-195.28,Rest,-8720.34,66.33,-88.55,-160,-1133.2
-22.9,56.56,37.62,5.19,11.73,-171.94,-2772.87,27490.98,-1204.54,-1253.43,967.68,13.65,418.71,-216.21,4309.71,-456.48,-757.69,0.07,16.23,646.47,-554.48,13.28,6,2907.62,13030.86,-111.84,4,1014.6,Very high,-24974.1,-49.34,USA,-11114.22,65.55,-78.34,-186.94,502.27
-32.24,94.84,26.38,26.7,14.38,-99.4,-2445.43,21930.09,-1058.5,-2834.21,1631.7,12.91,220.17,-159.81,2644.5,-380.64,411.73,6.18,3.36,298.69,-518.44,8.22,8,3610.96,15066.58,-123.7,6,132.06,High,-31257.42,-83.9,UK,-7690.45,60.15,-43.48,-201.7,1403.3
-30.24,71.76,28.84,-7.92,9.1,-84.66,-2209.84,26108.1,-811.16,1269,965.43,16.87,222.06,-195.72,3815.58,-507.6,-370.05,3.5,29.76,233.53,-723.08,16.84,6,2978.34,24022.5,-106.58,2,-282.57,Medium,372.78,-149.36,Rest,-4698.58,64.26,-71.01,-183.62,2817.45
-28.86,184.92,26.18,-4.11,18.29,-208.24,-2179.94,31136.1,-566.74,-2245.25,1596.36,13.08,277.32,-190.17,991.35,-964.59,-296.85,29.11,39.75,237.76,-564.64,8.86,10,3240.58,4326.02,-182.47,6,-111.18,Low,-19667.55,-8.6,USA,-11977.11,63.87,-102.18,-189.21,648.37
-26.52,120.82,-20.38,17.52,1.2,-236.88,-2244.24,35961.48,-1343.88,-224.42,1480.14,23.29,299.16,-399.87,2756.61,-576.06,-88.84,0.04,5.58,189.73,-525.28,13.28,6,3545.32,15206.78,-78.25,10,1219.8,Low,-7487.4,-91.96,UK,-7655.67,64.35,-110.63,-215.58,35.58
-28.72,74.54,29.98,11.55,15.74,-160.02,-1724.13,23460.09,-1512.82,-1771.21,1427.28,17.89,254.79,-428.22,1281.09,-594.99,-287.07,34.97,7.2,-88.7,-558.92,2.44,16,5206.54,10002.88,-111.51,0,-682.17,Medium,-10987.14,-301.94,USA,-10747.74,58.14,-34.01,-141.52,1125.56
-40.76,66.96,26.04,-0.63,10.37,-108.3,-2290.85,22507.08,-1231.94,4374.25,1765.32,17.49,254.58,-169.65,2652.03,-584.64,-68.62,0.01,11.22,-420.63,-486.58,7.64,8,4489.94,15386.76,-133.74,8,360.81,Medium,-20213.07,-93.12,USA,-16377.85,61.05,-57.99,-227.51,21.65
-35.76,92.78,26.96,8.19,7.4,-149.72,-2028.11,32469,-1102.86,-1240.9,13.05,11.44,399.93,-231.81,2912.4,-897.45,90.98,0.37,27.99,474.43,-590.9,6.46,2,4243.1,22793.68,-117.96,18,-418.44,Very high,-31767.9,-228,Rest,-12693.01,56.19,-64.93,-24.6,-59.34
-27.38,18.02,28.88,13.47,9.64,-82.84,-2127.8,8626.05,-1411.96,-4815.68,1353.12,15.5,337.32,-121.47,3299.97,-584.94,790.39,0.07,9.69,-590.13,-513.98,19.7,6,3982.58,7971.92,-197.05,10,605.1,Medium,-17688.99,-47.94,Rest,-15198.23,65.46,-61,-188.45,-733.87
-23.54,-12.62,29.5,17.94,3.19,-157.72,-2241.23,17626.44,-1189.62,-1009.17,2059.98,11.98,462.21,-269.19,2394.63,-519.12,103.01,1.35,10.89,269.17,-520.52,9.12,6,3702.24,16204.98,-100.39,8,996.33,Low,-2304.24,17.1,UK,-17317.8,80.85,-82.93,-168.29,-46.74
-27.32,80.32,24.34,10.68,9.5,-88.28,-2181.59,17429.76,-1655.54,-4408.42,1457.64,11.68,247.65,-274.59,3798.09,-626.88,-23.76,48.52,24.72,304.93,-569.32,0.66,2,4144.3,8337.44,-101.76,10,139.74,Medium,-31891.65,-82.26,UK,-13772.36,70.8,-66.17,-208.49,181.89
-22.3,154.2,22.68,12.6,11.56,-126.66,-2414.68,9519.81,-1098.48,-1266.6,-714.66,11.4,399.6,-293.01,2564.85,-905.31,453.02,56.76,1.5,-89.8,-608.3,2.28,4,3528.54,12403.96,-108.5,6,1101.72,Low,-25819.71,-128.22,UK,-9163.78,63.51,-58.27,-193.17,1426.94
-22.28,159.18,7.3,-0.84,8.08,-176.4,-1925.75,22783.23,-939.04,-2233.74,1089.36,20.67,-70.68,-184.05,1713.24,-533.73,180.55,0.18,3.12,166.33,-529.78,-7.7,2,2720.46,21099.08,-134.84,10,598.44,Medium,-17603.1,-95.2,UK,-12614.16,63,-65.85,-208.14,780.6
